Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
159,PtI,CuII,0.61620603,0.40138191,17.83430877,14.48118228,1.046029919,0.610552764,15.52225357
160,PtI,CuII,0.61620603,0.40138191,17.83430877,14.48118228,0.92541097,0.610552764,15.52225357
161,PtI,CuII,0.621859296,0.395728643,17.83430877,13.50993521,1.1477251,0.610552764,15.52225357
162,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
163,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
164,CuII,PtII,0.621859296,0.395728643,17.83430877,13.50993521,1.471278394,0.610552764,15.52225357
165,CuII,PtII,0.621859296,0.390075377,19.11644075,13.50993521,2.877717583,0.40138191,16.63816886
166,CuII,PtII,0.627512563,0.390075377,17.83430877,12.6038293,4.409295409,0.40138191,15.52225357
167,CuII,PtII,0.627512563,0.390075377,16.63816886,12.6038293,5.837381527,0.40138191,14.48118228
168,PtII,CuII,0.638819095,0.390075377,14.48118228,11.75849554,9.188067465,0.40138191,12.6038293
169,PtII,CuII,0.650125628,0.384422111,13.50993521,8.907354639,14.39299809,0.40138191,10.23411402
170,PtII,CuII,0.672738693,0.373115578,9.547716114,4.150404758,23.26033967,0.390075377,7.752597489
171,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
172,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
173,CuII,Ti,0.621859296,0.390075377,19.11644075,13.50993521,2.951898298,0.61620603,15.52225357
174,CuII,Ti,0.633165829,0.384422111,16.63816886,11.75849554,6.59022966,0.40138191,14.48118228
175,CuII,Ti,0.644472362,0.378768844,15.52225357,8.907354639,11.35465948,0.390075377,13.50993521
176,CuII,Ti,0.655778894,0.373115578,12.6038293,7.232633896,15.39273855,0.390075377,10.96985798
177,Ti,CuII,0.672738693,0.361809045,11.75849554,5.47890118,21.31270646,0.384422111,8.309941949
178,Ti,CuII,0.695351759,0.350502513,9.547716114,3.872038782,26.8147574,0.367462312,6.747544053
179,Ti,CuII,0.729271357,0.130025126,932.9304026,2.933166278,33.0534435,0.135678392,1000
180,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
181,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
182,CuII,Zn,0.61620603,0.40138191,17.83430877,14.48118228,0.844069213,0.610552764,15.52225357
183,CuII,Zn,0.621859296,0.395728643,17.83430877,13.50993521,1.458873343,0.610552764,15.52225357
184,CuII,Zn,0.627512563,0.395728643,17.83430877,12.6038293,2.549439372,0.61620603,14.48118228
185,CuII,Zn,0.627512563,0.395728643,17.83430877,11.75849554,3.536083908,0.61620603,13.50993521
186,Zn,CuII,0.633165829,0.395728643,15.52225357,10.96985798,4.775771446,0.61620603,13.50993521
187,Zn,CuII,0.638819095,0.390075377,14.48118228,8.907354639,7.740430681,0.621859296,11.75849554
188,Zn,CuII,0.661432161,0.384422111,10.96985798,5.872786613,12.81659394,0.395728643,8.907354639
189,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
190,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
191,DefectX,Mo,0.695351759,0.378768844,4.448782831,3.144035472,13.76714346,0.407035176,3.370064329
192,DefectX,Mo,0.701005025,0.344849246,9.547716114,5.111433483,14.86161842,0.361809045,5.872786613
193,DefectX,Mo,0.356155779,0.322236181,13.50993521,7.752597489,13.03239555,0.33919598,8.907354639
194,DefectX,Mo,0.33919598,0.163944724,932.9304026,10.23411402,10.67569923,0.322236181,12.6038293
195,Mo,DefectX,0.322236181,0.158291457,932.9304026,13.50993521,8.048333625,0.310929648,15.52225357
196,Mo,DefectX,0.305276382,0.180904523,499.4505116,15.52225357,5.426099327,0.299623116,20.4907469
197,Mo,DefectX,0.293969849,0.271356784,41.02658106,20.4907469,2.696566831,0.288316583,25.2353917
198,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
199,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
200,DefectX,PtI,0.638819095,0.491834171,1.189534067,0.840665289,0.683857309,0.565326633,0.965883224
201,DefectX,PtI,0.638819095,0.491834171,1.189534067,0.840665289,0.61670362,0.565326633,0.965883224
202,DefectX,PtI,0.638819095,0.491834171,1.189534067,0.840665289,0.490334201,0.565326633,0.965883224
